fips,state,county,state_abb,popfull_per,pop_full_12plus_per,pop_full_18plus_per,pop_full_65plus_per,pop_first_per,pop_first_12plus_per,pop_first_18plus_per,pop_first_65plus_per,cases_no,death_no,pop_census,cases_prop,death_prop,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,votes_dem,votes_gop,total_votes,per_dem,per_gop,per_point_diff,Sick,Spread,DaytimePopDensity,Traffic,SVIHousing,Vaccines,DistancingGrade,Testing,PctBeds,PctVentilators,PctBlack,PctNative,AirPollution,PctGE65,PrematureDeath,Smoking,Diabetes,Obesity,PctNoIns,SVISocioeconomic,PopDensity,Male,RuralCont,EconArea,HouseholdSize,noHealthInsurance,noHighSchool,Poverty,logPopDensity,PercentEduHealthSoc,SES,Household,HousingType,Asthma,Cancer,COPD,Stroke,HF,HTN,KD,WBSeg,WNWSeg,anycondition_prevalence,Obesity_prevalence,Heart disease_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Urban_rural_code,STAB
1001,Alabama,Autauga County,AL,34.0,39.9,41.8,61.7,43.1,50.6,52.6,74.5,9780.0,142.0,55869.0,17.50523546152607,0.2541659954536505,0.1685,0.2233,0.1272,0.44,Moderate Vulnerability,0.61,High Concern,0.0283,0.0025,0.0103,0.19,0.0001,0.746,7503.0,19838.0,27770.0,0.270183651,0.714368023,0.44418437200000005,4.73013075304401,0.0268641470888662,76.0,88.457040416,0.3741,0.6579999999999999,5.0,1271.0,0.74,0.3,0.1934317728,0.0048020719,11.7,14.6,8128.5911903,0.1808155718,0.111,0.33299999999999996,7.1,0.3631,93.98593634,48.49200809,1.0,114.0,2.68,11.1,12.3,13.4,4.543145158,17.6,0.3631,0.581,0.3741,4.5463,8.4762,13.8316,4.0647,15.8544,63.7064,25.5635,24.61913786,23.6283952,47.6,35.8,7.9,8.6,12.9,3.1,3.0,AL
1003,Alabama,Baldwin County,AL,42.7,49.5,51.9,75.3,54.4,63.0,65.7,91.1,36579.0,518.0,223234.0,16.385944793355847,0.23204350591755735,0.1544,0.1988,0.1169,0.22,Low Vulnerability,0.23,Low Concern,0.0456,0.0065,0.0092,0.0917,0.0,0.8307,24578.0,83544.0,109679.0,0.2240903,0.7617137279999999,0.537623428,3.61431415178285,0.0215288782033769,121.0,86.997429882,0.3359,0.5710000000000001,5.0,1399.0,0.75,0.41,0.0878397593,0.0077239911999999996,10.3,19.5,7354.122529800001,0.174890326,0.107,0.31,8.9,0.2232,140.4181711,48.49037333,1.0,112.0,2.46,14.3,9.8,10.1,4.944624907,20.0,0.2232,0.199,0.3359,4.8889999999999985,8.5693,11.5988,3.874,12.8695,60.3339,21.7487,41.27176277,31.82534323,40.2,29.7,7.8,8.6,12.0,3.2,4.0,AL
1005,Alabama,Barbour County,AL,35.7,41.1,43.0,66.1,46.6,53.8,56.0,76.3,3519.0,71.0,24686.0,14.255043344405735,0.2876124118933809,0.1676,0.2337,0.1274,1.0,Very High Vulnerability,0.89,Very High Concern,0.0436,0.0029,0.0048,0.4744,0.0,0.4581,4816.0,5622.0,10518.0,0.457881727,0.534512265,0.076630538,4.742574655359509,0.0335132064754331,27.5,102.29176221,0.9889,0.643,3.7,689.0,0.66,0.72,0.4803263534,0.0065913748999999995,11.5,18.0,10253.573403,0.21999984530000002,0.17600000000000002,0.41700000000000004,11.3,0.978,27.89756803,52.92068379,0.0,48.0,2.47,16.1,26.9,33.4,3.328539518,18.3,0.978,0.9153,0.9889,5.5134,8.3313,10.6346,4.5822,13.7711,67.2384,28.2774,25.03913235,23.44971251,57.5,40.7,11.0,12.1,19.7,4.5,6.0,AL
1007,Alabama,Bibb County,AL,29.7,34.2,35.7,57.0,37.3,42.8,44.7,64.5,4157.0,83.0,22394.0,18.563007948557647,0.3706349915155845,0.1808,0.2526,0.139,0.6,High Vulnerability,0.76,High Concern,0.0257,0.0013,0.0012,0.2214,0.0,0.7453,1986.0,7525.0,9595.0,0.206982804,0.784262637,0.577279833,8.21428571428571,0.0441988950276243,28.9,29.335580010999998,0.7189,0.7020000000000001,4.3,1992.0,0.33,0.3062,0.21120535710000002,0.004375,11.2,16.3,11977.539484,0.1911419989,0.145,0.376,10.7,0.7694,35.96967458,53.26873270000001,2.0,19.0,2.6,13.0,17.9,20.2,3.5826762110000003,24.6,0.7694,0.1203,0.7189,4.9055,7.1557,13.6814,5.5356,17.3717,67.9118,29.523000000000003,52.60379424,52.60020550000001,51.6,38.7,8.6,10.0,14.1,3.3,2.0,AL
1009,Alabama,Blount County,AL,26.4,31.0,32.9,49.5,32.8,38.5,40.6,57.3,9870.0,162.0,57826.0,17.06844671946875,0.280150797219244,0.1854,0.2362,0.1416,0.42,Moderate Vulnerability,0.8,High Concern,0.0926,0.0007,0.0037,0.0153,0.0004,0.8689,2640.0,24711.0,27588.0,0.09569378,0.895715528,0.800021749,6.863762102351309,0.0401903219275157,71.7,33.411781963,0.1741,0.735,5.0,1371.0,0.35,0.0,0.014626556,0.0065352697,11.7,17.8,11335.071134,0.1920867197,0.17,0.33799999999999997,10.8,0.6143,89.68330283,49.23736727,2.0,19.0,2.63,17.1,20.2,12.8,4.496284607,20.2,0.6143,0.3187,0.1741,5.3258,6.735,14.9524,4.4289999999999985,16.2518,63.7811,24.5608,48.21482288,17.69449474,46.3,34.0,9.2,10.5,13.5,3.4,2.0,AL
1011,Alabama,Bullock County,AL,43.1,50.2,51.5,72.9,53.3,62.0,63.4,85.3,1507.0,44.0,10101.0,14.919314919314921,0.4356004356004357,0.1676,0.2337,0.1274,0.89,Very High Vulnerability,0.84,Very High Concern,0.0256,0.0,0.0049,0.748,0.0,0.2138,3446.0,1146.0,4613.0,0.7470192929999999,0.248428355,-0.498590939,3.35371868218584,0.0225613802256138,15.6,4.0665381995,0.765,0.5670000000000001,3.0,2435.0,0.41,0.0,0.6954034326,0.0083842967,11.2,15.6,11679.558981,0.22894664010000002,0.237,0.37200000000000005,11.4,0.9771,16.21868979,54.52925453,0.0,114.0,2.46,15.2,28.6,34.4,2.7861642680000003,16.8,0.9771,0.4438,0.765,4.0909,8.0909,11.1818,2.8182,17.0909,70.0,25.0,31.84648148,30.61876043,60.7,45.8,10.0,10.9,20.6,4.5,6.0,AL
1013,Alabama,Butler County,AL,33.8,39.4,41.4,59.3,43.8,51.1,53.6,73.5,3210.0,91.0,19448.0,16.505553270259153,0.4679144385026738,0.1758,0.2304,0.1343,0.87,Very High Vulnerability,0.88,Very High Concern,0.013999999999999999,0.0006,0.0035,0.4503,0.0,0.516,3965.0,5458.0,9488.0,0.41789629,0.5752529510000001,0.157356661,4.6239837398374,0.0283489096573209,25.1,19.311067904,0.6259,0.662,4.3,1013.0,0.51,0.4,0.4455792683,0.0037601626000000003,10.6,19.0,14359.939103,0.21765334960000002,0.192,0.433,8.7,0.8455,25.03507846,46.40065817,0.0,114.0,2.43,14.5,18.9,21.3,3.22027798,20.1,0.8455,0.9077,0.6259,4.6827,7.1368,16.615,4.6262,18.2511,70.6065,26.9394,38.01121561,37.51184805,58.1,41.2,10.4,11.4,18.6,4.3,6.0,AL
1015,Alabama,Calhoun County,AL,39.5,45.9,48.3,74.1,48.8,56.7,59.2,85.4,21719.0,433.0,113605.0,19.117996567052504,0.3811451960741165,0.1795,0.2354,0.1372,0.83,Very High Vulnerability,0.66,High Concern,0.038,0.0019,0.0088,0.2066,0.0001,0.7207,15216.0,35101.0,50983.0,0.298452425,0.6884843970000001,0.39003197100000003,11.9971647838148,0.0630315847547239,193.1,109.89916308,0.6492,0.603,5.0,1342.0,0.91,0.64,0.2085021483,0.0053991617,11.8,16.8,12078.616145,0.20612560370000002,0.175,0.385,9.5,0.7866,187.507221,47.956516,1.0,19.0,2.44,15.4,16.8,17.7,5.233817357,22.3,0.7866,0.8303,0.6492,5.5784,7.2719,17.4386,3.8686,17.0003,65.8262,27.8217,44.54230412,40.68118287,53.6,40.9,9.1,10.2,14.7,3.6,4.0,AL
1017,Alabama,Chambers County,AL,26.8,31.1,32.6,48.5,32.4,37.7,39.3,55.0,5493.0,138.0,33254.0,16.518313586335477,0.4149876706561617,0.1806,0.24,0.1383,0.74,High Vulnerability,0.81,Very High Concern,0.0238,0.0033,0.0112,0.3956,0.0,0.5555,6365.0,8753.0,15284.0,0.41644857399999996,0.572690395,0.156241822,6.455451435371111,0.0394688977810113,46.7,20.271586909,0.7943,0.731,5.0,860.0,0.77,0.0,0.39565670090000005,0.0030641083,11.4,18.9,11112.536614,0.1939292705,0.19899999999999998,0.401,10.3,0.6901,55.74572947,47.79876105,0.0,11.0,2.42,15.2,19.1,18.2,4.020800806,19.1,0.6901,0.6609,0.7943,4.0444,7.0613,14.6445,3.4573,17.2048,67.0254,28.2779,26.7478613,25.67284445,55.7,39.1,9.8,10.8,17.5,4.0,5.0,AL
1019,Alabama,Cherokee County,AL,27.4,31.1,32.8,50.2,33.2,37.7,39.7,58.0,2950.0,57.0,26196.0,11.26126126126126,0.21759047182775995,0.1783,0.235,0.1368,0.45,Moderate Vulnerability,0.7,High Concern,0.0159,0.0108,0.0025,0.046,0.0,0.9172,1624.0,10583.0,12301.0,0.132021787,0.860336558,0.728314771,5.14751075599262,0.045362220717671,37.0,25.908887044,0.2741,0.726,5.0,657.0,0.3,0.0,0.04240934230000001,0.0066072526,11.4,21.7,12349.707594,0.1749867379,0.152,0.35,8.6,0.6879,47.31081813,49.34341121,0.0,11.0,2.42,13.9,20.5,17.2,3.856738983,22.8,0.6879,0.4492,0.2741,4.6653,7.1219,19.7431,3.313,18.8641,64.1875,30.9218,32.05770923,29.49378943,55.9,39.1,10.8,12.1,15.9,3.9,6.0,AL
